ANALYSIS_DATE,INTERFACE,LAST_UPDATE
01/07/2026,EPEXSPOT,06:32:44 AM
30/06/2026,EPEXSPOT,07:17:12 AM
29/06/2026,EPEXSPOT,09:04:23 AM
28/06/2026,EPEXSPOT,05:59:03 AM
27/06/2026,EPEXSPOT,04:27:41 AM
26/06/2026,EPEXSPOT,08:48:14 AM
25/06/2026,EPEXSPOT,08:20:31 AM
24/06/2026,EPEXSPOT,10:21:50 AM
23/06/2026,EPEXSPOT,05:21:58 AM
22/06/2026,EPEXSPOT,03:37:53 AM
21/06/2026,EPEXSPOT,02:23:59 AM
20/06/2026,EPEXSPOT,03:19:56 AM
19/06/2026,EPEXSPOT,04:41:07 AM
18/06/2026,EPEXSPOT,05:28:12 AM
17/06/2026,EPEXSPOT,03:50:18 AM
16/06/2026,EPEXSPOT,03:28:04 AM
15/06/2026,EPEXSPOT,03:48:58 AM
14/06/2026,EPEXSPOT,02:16:52 AM
13/06/2026,EPEXSPOT,02:43:27 AM
12/06/2026,EPEXSPOT,03:47:42 AM
11/06/2026,EPEXSPOT,01:56:47 AM
10/06/2026,EPEXSPOT,03:00:06 AM
09/06/2026,EPEXSPOT,02:16:58 AM
08/06/2026,EPEXSPOT,01:49:55 AM
07/06/2026,EPEXSPOT,01:43:04 AM
06/06/2026,EPEXSPOT,01:22:57 AM
05/06/2026,EPEXSPOT,02:13:57 AM
03/06/2026,EPEXSPOT,10:13:44 AM
02/06/2026,EPEXSPOT,12:55:39 PM
